date,GOLD
1999-11-01,13.6951519653
1999-11-02,14.033493732
1999-11-03,13.7489790646
1999-11-04,13.6028769381
1999-11-05,13.2183976577
1999-11-08,13.4567748115
1999-11-09,13.8412540919
1999-11-10,14.6102126525
1999-11-11,13.7951165782
1999-11-12,13.7489790646
1999-11-15,13.9873562184
1999-11-16,13.7489790646
1999-11-17,13.5567394244
1999-11-18,13.6490144517
1999-11-19,13.6951519653
1999-11-22,13.4567748115
1999-11-23,14.5179376252
1999-11-24,14.8312882387
1999-11-26,15.008493241
1999-11-29,13.7926349135
1999-11-30,13.9397770041
1999-12-01,13.7926349135
1999-12-02,13.5060950528
1999-12-03,13.5060950528
1999-12-06,13.4054188856
1999-12-07,14.133385018
1999-12-08,13.9862429274
1999-12-09,13.5990268995
1999-12-10,13.5990268995
1999-12-13,13.7461689901
1999-12-14,13.3589529622
1999-12-15,13.7461689901
1999-12-16,13.7926349135
1999-12-17,14.133385018
1999-12-20,13.7926349135
1999-12-21,14.133385018
1999-12-22,13.9397770041
1999-12-23,13.9397770041
1999-12-27,14.0404531713
1999-12-28,14.2882714292
1999-12-29,14.0869190947
1999-12-30,13.7461689901
1999-12-31,13.6997030668
2000-01-03,13.6997030668
2000-01-04,13.5060950528
2000-01-05,13.8468451574
2000-01-06,13.7461689901
2000-01-07,13.4054188856
2000-01-10,13.4054188856
2000-01-11,13.6532371434
2000-01-12,13.4054188856
2000-01-13,13.3124870389
2000-01-14,13.1188790249
2000-01-18,13.5990268995
2000-01-19,13.4054188856
2000-01-20,13.2118108716
2000-01-21,13.2660211155
2000-01-24,12.8245948437
2000-01-25,12.7781289204
2000-01-26,12.5845209064
2000-01-27,13.1188790249
2000-01-28,12.6309868298
2000-01-31,12.6851970737
2000-02-01,12.5380549831
2000-02-02,12.6851970737
2000-02-03,12.8245948437
2000-02-04,14.2340611853
2000-02-07,13.8468451574
2000-02-08,13.3589529622
2000-02-09,14.2805271086
2000-02-10,14.2805271086
2000-02-11,14.1798509414
2000-02-14,13.5525609762
2000-02-15,13.8468451574
2000-02-16,13.8933110807
2000-02-17,13.4054188856
2000-02-18,13.8933110807
2000-02-22,14.0869190947
2000-02-23,13.3124870389
2000-02-24,12.925271011
2000-02-25,12.925271011
2000-02-28,12.731662997
2000-02-29,12.6309868298
2000-03-01,12.8788050876
2000-03-02,12.6851970737
2000-03-03,12.5845209064
2000-03-06,12.4915890598
2000-03-07,13.2118108716
2000-03-08,12.8245948437
2000-03-09,12.925271011
2000-03-10,12.5380549831
2000-03-13,12.925271011
2000-03-14,12.8788050876
2000-03-15,12.925271011
2000-03-16,12.8788050876
2000-03-17,12.6309868298
2000-03-20,12.731662997
2000-03-21,13.3589529622
2000-03-22,12.731662997
2000-03-23,12.8788050876
2000-03-24,12.9717369343
2000-03-27,12.6851970737
2000-03-28,12.4915890598
2000-03-29,12.3444469692
2000-03-30,12.2979810458
2000-03-31,12.1508389552
2000-04-03,12.3909128925
2000-04-04,13.1188790249
2000-04-05,13.3124870389
2000-04-06,12.8788050876
2000-04-07,12.6851970737
2000-04-10,12.7781289204
2000-04-11,12.7781289204
2000-04-12,12.5845209064
2000-04-13,12.4915890598
2000-04-14,13.3589529622
2000-04-17,13.0724131016
2000-04-18,12.9717369343
2000-04-19,13.2660211155
2000-04-20,13.2118108716
2000-04-24,13.2660211155
2000-04-25,12.925271011
2000-04-26,12.731662997
2000-04-27,13.1653449483
2000-04-28,13.0182028577
2000-05-01,13.1653449483
2000-05-02,14.4276691992
2000-05-03,14.3734589553
2000-05-04,14.326993032
2000-05-05,13.8933110807
2000-05-08,13.9397770041
2000-05-09,14.2340611853
2000-05-10,14.3734589553
2000-05-11,14.133385018
2000-05-12,14.0869190947
2000-05-15,14.326993032
2000-05-16,14.2805271086
2000-05-17,13.6532371434
2000-05-18,13.5525609762
2000-05-19,13.5525609762
2000-05-22,13.6997030668
2000-05-23,13.9397770041
2000-05-24,14.2805271086
2000-05-25,13.9862429274
2000-05-26,14.1721066208
2000-05-30,14.4136323521
2000-05-31,14.1253597051
2000-06-01,14.1721066208
2000-06-02,14.5616642519
2000-06-05,15.1460006986
2000-06-06,15.2940325985
2000-06-07,14.8031899832
2000-06-08,14.8031899832
2000-06-09,14.7096961518
2000-06-12,15.0447157145
2000-06-13,14.9044749673
2000-06-14,15.0992537829
2000-06-15,14.7096961518
2000-06-16,14.6551580834
2000-06-19,14.2188535365
2000-06-20,14.024074721
2000-06-21,13.8292959054
2000-06-22,13.9305808895
2000-06-23,13.5877701741
2000-06-26,13.5877701741
