date,GOLD
1999-11-01,13.7468101245
1999-11-02,14.0864281174
1999-11-03,13.8008402597
1999-11-04,13.6541870355
1999-11-05,13.268257498
1999-11-08,13.5075338112
1999-11-09,13.8934633487
1999-11-10,14.6653224236
1999-11-11,13.8471518042
1999-11-12,13.8008402597
1999-11-15,14.0401165729
1999-11-16,13.8008402597
1999-11-17,13.607875491
1999-11-18,13.70049858
1999-11-19,13.7468101245
1999-11-22,13.5075338112
1999-11-23,14.5726993346
1999-11-24,14.8872319077
1999-11-26,15.0651053279
1999-11-29,13.8446607786
1999-11-30,13.9923578897
1999-12-01,13.8446607786
1999-12-02,13.5570400887
1999-12-03,13.5570400887
1999-12-06,13.4559841706
1999-12-07,14.1866961937
1999-12-08,14.0389990826
1999-12-09,13.6503224746
1999-12-10,13.6503224746
1999-12-13,13.7980195856
1999-12-14,13.4093429776
1999-12-15,13.7980195856
1999-12-16,13.8446607786
1999-12-17,14.1866961937
1999-12-20,13.8446607786
1999-12-21,14.1866961937
1999-12-22,13.9923578897
1999-12-23,13.9923578897
1999-12-27,14.0934138078
1999-12-28,14.3421668369
1999-12-29,14.1400550007
1999-12-30,13.7980195856
1999-12-31,13.7513783927
2000-01-03,13.7513783927
2000-01-04,13.5570400887
2000-01-05,13.8990755037
2000-01-06,13.7980195856
2000-01-07,13.4559841706
2000-01-10,13.4559841706
2000-01-11,13.7047371997
2000-01-12,13.4559841706
2000-01-13,13.3627017846
2000-01-14,13.1683634806
2000-01-18,13.6503224746
2000-01-19,13.4559841706
2000-01-20,13.2616458665
2000-01-21,13.3160605917
2000-01-24,12.8729692585
2000-01-25,12.8263280655
2000-01-26,12.6319897615
2000-01-27,13.1683634806
2000-01-28,12.6786309545
2000-01-31,12.7330456796
2000-02-01,12.5853485685
2000-02-02,12.7330456796
2000-02-03,12.8729692585
2000-02-04,14.2877521118
2000-02-07,13.8990755037
2000-02-08,13.4093429776
2000-02-09,14.3343933047
2000-02-10,14.3343933047
2000-02-11,14.2333373867
2000-02-14,13.6036812816
2000-02-15,13.8990755037
2000-02-16,13.9457166967
2000-02-17,13.4559841706
2000-02-18,13.9457166967
2000-02-22,14.1400550007
2000-02-23,13.3627017846
2000-02-24,12.9740251766
2000-02-25,12.9740251766
2000-02-28,12.7796868726
2000-02-29,12.6786309545
2000-03-01,12.9273839836
2000-03-02,12.7330456796
2000-03-03,12.6319897615
2000-03-06,12.5387073756
2000-03-07,13.2616458665
2000-03-08,12.8729692585
2000-03-09,12.9740251766
2000-03-10,12.5853485685
2000-03-13,12.9740251766
2000-03-14,12.9273839836
2000-03-15,12.9740251766
2000-03-16,12.9273839836
2000-03-17,12.6786309545
2000-03-20,12.7796868726
2000-03-21,13.4093429776
2000-03-22,12.7796868726
2000-03-23,12.9273839836
2000-03-24,13.0206663695
2000-03-27,12.7330456796
2000-03-28,12.5387073756
2000-03-29,12.3910102645
2000-03-30,12.3443690715
2000-03-31,12.1966719605
2000-04-03,12.4376514575
2000-04-04,13.1683634806
2000-04-05,13.3627017846
2000-04-06,12.9273839836
2000-04-07,12.7330456796
2000-04-10,12.8263280655
