date,INTC
1999-11-01,23.5841681947
1999-11-02,24.0496451986
1999-11-03,24.7571702444
1999-11-04,25.3190571177
1999-11-05,25.5736136017
1999-11-08,25.4960049175
1999-11-09,24.8534050127
1999-11-10,24.5243441919
1999-11-11,24.660935476
1999-11-12,23.6520225821
1999-11-15,22.9907965931
1999-11-16,23.7668834346
1999-11-17,23.2049965614
1999-11-18,24.3691268236
1999-11-19,24.7975267602
1999-11-22,24.9899962969
1999-11-23,24.5243441919
1999-11-24,25.5146310017
1999-11-26,24.9123876127
1999-11-29,24.5057181077
1999-11-30,23.8072399504
1999-12-01,23.6892747505
1999-12-02,24.0773181712
1999-12-03,24.4281094236
1999-12-06,24.1766572869
1999-12-07,23.9624573187
1999-12-08,23.1273878772
1999-12-09,22.7393444565
1999-12-10,22.4289097198
1999-12-13,23.2236226456
1999-12-14,22.4878923198
1999-12-15,24.5057181077
1999-12-16,24.9123876127
1999-12-17,25.474274486
1999-12-20,25.1638397494
1999-12-21,25.72883097
1999-12-22,25.6108657701
1999-12-23,25.8064396541
1999-12-27,26.4055786958
1999-12-28,25.7660831384
1999-12-29,26.0392657066
1999-12-30,25.9802831066
1999-12-31,25.5518831701
2000-01-03,27.0078220848
2000-01-04,25.7474570542
2000-01-05,26.272091759
2000-01-06,24.4467355078
2000-01-07,25.4556484018
2000-01-10,26.619778664
2000-01-11,27.8428915263
2000-01-12,28.3271697154
2000-01-13,28.2681871154
2000-01-14,32.0058213442
2000-01-18,31.6953866076
2000-01-19,31.0745171343
2000-01-20,29.6868738617
2000-01-21,30.4039781033
2000-01-24,30.6740563241
2000-01-25,31.5401692393
2000-01-26,29.9569520826
2000-01-27,30.4629607032
2000-01-28,29.180865241
2000-01-31,30.7144128399
2000-02-01,31.4780822919
2000-02-02,31.0620997449
2000-02-03,32.3566125965
2000-02-04,32.5429270645
2000-02-07,33.5055518154
2000-02-08,33.7850235173
2000-02-09,32.4808222418
2000-02-10,33.4123945814
2000-02-11,32.884503589
2000-02-14,34.1266000418
2000-02-15,34.7787006796
2000-02-16,33.2881849362
2000-02-17,34.1576524532
2000-02-18,32.7292415324
2000-02-22,33.1639752909
2000-02-23,33.8781807513
2000-02-24,35.49290614
2000-02-25,35.1823820267
2000-02-28,34.9029103249
2000-02-29,35.0892247928
2000-03-01,35.9897447211
2000-03-02,35.9586923098
2000-03-03,37.045526706
2000-03-06,36.4555308909
2000-03-07,35.9586923098
2000-03-08,35.6792206079
2000-03-09,36.7660550041
2000-03-10,37.3249984079
2000-03-13,37.914994223
2000-03-14,36.6107929475
2000-03-15,37.3249984079
2000-03-16,38.8465665626
2000-03-17,40.337082306
2000-03-20,41.9207552834
2000-03-21,42.9765372683
2000-03-22,44.7465247136
2000-03-23,44.2807385438
2000-03-24,43.1814831831
2000-03-27,44.3117909551
2000-03-28,42.1381221627
2000-03-29,40.9581305325
2000-03-30,39.4365623777
2000-03-31,40.9581305325
2000-04-03,40.5544491853
2000-04-04,41.2376022344
2000-04-05,40.337082306
2000-04-06,40.3060298947
2000-04-07,42.4796986872
2000-04-10,40.7097112419
2000-04-11,40.6165540079
2000-04-12,37.8528894004
2000-04-13,37.6044701098
2000-04-14,34.3129145098
2000-04-17,38.1944659249
2000-04-18,40.0576106042
2000-04-19,36.9834218834
2000-04-20,35.8344826645
2000-04-24,36.0518495437
2000-04-25,38.8155141513
2000-04-26,37.5113128758
2000-04-27,38.9086713853
2000-04-28,39.3744575551
2000-05-01,39.4676147891
2000-05-02,37.6355225211
2000-05-03,36.9927376068
2000-05-04,37.1480387722
2000-05-05,38.3283276295
2000-05-08,36.5268341105
2000-05-09,36.3094124788
2000-05-10,32.9549073054
2000-05-11,35.9056294487
2000-05-12,35.7192680502
2000-05-15,36.6821352759
2000-05-16,37.8624241332
2000-05-17,38.2662071633
2000-05-18,38.4836287949
2000-05-19,36.6200148097
2000-05-22,36.7753159752
2000-05-23,34.1351961628
2000-05-24,36.4647136443
2000-05-25,35.7813885164
2000-05-26,36.5268341105
2000-05-30,39.0737732236
2000-05-31,39.0116527574
2000-06-01,40.285122314
2000-06-02,41.6828328029
2000-06-05,41.1858690735
2000-06-06,40.2540620809
2000-06-07,40.0366404493
2000-06-08,39.198014156
2000-06-09,39.4775562537
2000-06-12,38.856351592
2000-06-13,40.8442065096
2000-06-14,39.2601346221
2000-06-15,39.8502790508
2000-06-16,39.1669539229
2000-06-19,42.3972181639
2000-06-20,42.9563023595
2000-06-21,43.1737239911
2000-06-22,41.6517725698
2000-06-23,41.7449532691
2000-06-26,41.6828328029
2000-06-27,40.8131462765
2000-06-28,41.1237486074
2000-06-29,40.9373872088
2000-06-30,41.5275316375
2000-07-03,42.5214590963
2000-07-05,40.8752667427
2000-07-06,42.428278397
2000-07-07,43.2669046904
2000-07-10,42.8010011941
2000-07-11,43.1116035249
2000-07-12,43.857049119
2000-07-13,44.4782537808
2000-07-14,45.5653619388
2000-07-17,45.4411210065
2000-07-18,44.4161333146
2000-07-19,42.8941818933
2000-07-20,44.3229526153
2000-07-21,42.9252421264
2000-07-24,42.8631216602
2000-07-25,43.7638684198
2000-07-26,43.1737239911
2000-07-27,42.5525193294
2000-07-28,40.0987609155
2000-07-31,41.4654111713
2000-08-01,40.1484572884
2000-08-02,39.3284671349
2000-08-03,40.4279993862
2000-08-04,38.8745103228
2000-08-07,39.1106406604
2000-08-08,38.2966123912
2000-08-09,39.4959059482
2000-08-10,38.5265287726
2000-08-11,39.6512548545
2000-08-14,41.5962231619
2000-08-15,42.1803350497
2000-08-16,42.6836655063
2000-08-17,43.534977513
2000-08-18,43.8456753257
2000-08-21,44.7777687638
2000-08-22,44.8212664575
2000-08-23,46.3747555209
2000-08-24,46.1386251833
2000-08-25,45.3245969141
2000-08-28,45.9087088019
2000-08-29,46.0205600145
2000-08-30,45.6725784643
2000-08-31,46.5301044273
2000-09-01,45.9459925394
2000-09-05,43.0316470565
2000-09-06,40.8256925864
2000-09-07,41.9069209746
2000-09-08,40.6268459863
2000-09-11,40.1980830048
2000-09-12,40.3534319112
2000-09-13,38.0604820536
2000-09-14,37.0538211405
2000-09-15,35.742676371
2000-09-18,34.6800898516
2000-09-19,37.5198678595
2000-09-20,39.1852081355
2000-09-21,38.2034030474
2000-09-22,29.78970628
2000-09-25,28.198933479
2000-09-26,26.9126445345
2000-09-27,27.266840041
2000-09-28,27.6148215912
2000-09-29,25.8252021901
2000-10-02,24.9366064459
2000-10-03,25.0484576584
2000-10-04,26.0986162653
2000-10-05,25.4772206399
2000-10-06,24.8185412771
2000-10-09,24.2717131267
2000-10-10,23.3396196887
2000-10-11,21.9849772254
2000-10-12,23.0724195698
2000-10-13,25.0919553522
2000-10-16,22.1776098693
2000-10-17,22.4883076819
2000-10-18,23.7310989327
2000-10-19,26.0613325278
2000-10-20,26.7572956282
2000-10-23,26.9126445345
2000-10-24,26.0986162653
2000-10-25,25.6698532838
2000-10-26,27.7701704975
2000-10-27,28.8203291044
2000-10-30,27.9628031414
2000-10-31,27.9628031414
2000-11-01,27.8882356664
2000-11-02,29.0129617483
2000-11-03,28.5593429417
2000-11-06,28.9447759549
2000-11-07,28.7147594793
2000-11-08,26.5389279535
2000-11-09,25.7245452967
2000-11-10,23.0016475587
2000-11-13,23.7414302774
2000-11-14,25.4510121906
2000-11-15,25.7991452347
2000-11-16,24.8666460094
2000-11-17,25.7991452347
2000-11-20,25.5691287591
2000-11-21,26.5016279845
2000-11-22,25.6064287281
2000-11-24,27.3160106413
2000-11-27,27.3160106413
2000-11-28,26.1286282943
2000-11-29,26.5762279225
2000-11-30,23.6606136779
2000-12-01,21.2174657075
2000-12-04,20.4776829887
2000-12-05,22.3799814084
2000-12-06,19.7379002699
2000-12-07,20.0860333141
2000-12-08,21.136649108
2000-12-11,23.2751806648
2000-12-12,22.6908144835
2000-12-13,22.0691483333
2000-12-14,21.8391318577
2000-12-15,20.1668499136
2000-12-18,20.6703994953
2000-12-19,20.7885160638
2000-12-20,19.8560168385
2000-12-21,20.5957995572
2000-12-22,20.4776829887
2000-12-26,20.4403830197
2000-12-27,20.2414498516
2000-12-28,19.2343506882
2000-12-29,18.687284476
2001-01-02,19.3089506263
2001-01-03,21.2796323225
2001-01-04,21.0123158779
2001-01-05,19.9306167765
2001-01-08,19.8560168385
2001-01-09,20.048733345
2001-01-10,20.5149829577
2001-01-11,20.7512160948
2001-01-12,19.974133407
2001-01-16,19.5078837943
2001-01-17,18.9608175821
2001-01-18,20.011433376
2001-01-19,20.8631160018
2001-01-22,20.7512160948
2001-01-23,21.9945483953
2001-01-24,22.535397946
2001-01-25,21.4474821831
2001-01-26,22.3053814704
2001-01-29,23.0389475277
2001-01-30,23.0016475587
2001-01-31,23.0016475587
2001-02-01,23.5051971403
2001-02-02,22.1872649018
2001-02-05,21.5780320746
2001-02-06,22.0445504965
2001-02-07,21.7335382153
2001-02-08,21.5407106009
2001-02-09,20.8378228452
2001-02-12,21.4971688815
2001-02-13,20.1784768089
2001-02-14,21.2296983196
2001-02-15,22.2746995847
2001-02-16,21.3852044602
2001-02-20,19.5564522464
2001-02-21,19.1272552982
2001-02-22,18.6607368763
2001-02-23,18.6234154025
2001-02-26,18.349724595
2001-02-27,18.0387123137
2001-02-28,17.7650215062
2001-03-01,18.1195755069
2001-03-02,18.2315399281
2001-03-05,18.8971062101
2001-03-06,19.5937737201
2001-03-07,20.4894890902
2001-03-08,20.6823167046
2001-03-09,18.3124031213
2001-03-12,17.2611816106
2001-03-13,18.2750816475
2001-03-14,18.0760337875
2001-03-15,17.7277000325
2001-03-16,17.3420448037
2001-03-19,16.8319846624
2001-03-20,15.3204649754
2001-03-21,15.8989478186
2001-03-22,17.8458846994
2001-03-23,17.9205276469
2001-03-26,17.6095153656
2001-03-27,18.2750816475
2001-03-28,16.7573417149
2001-03-29,16.5209723811
2001-03-30,16.3654662405
