date,SPY
1999-11-01,90.9110087165
1999-11-02,90.2613141357
1999-11-03,90.8690949273
1999-11-04,91.5606416001
1999-11-05,92.4618189159
1999-11-08,92.5456464942
1999-11-09,91.6759145796
1999-11-10,92.3570035944
1999-11-11,92.8809568076
1999-11-12,93.7192325911
1999-11-15,93.939259195
1999-11-16,94.7251635312
1999-11-17,94.9766462662
1999-11-18,95.647266893
1999-11-19,95.5634393147
1999-11-22,95.5424515715
1999-11-23,94.7041757881
1999-11-24,95.2071412582
1999-11-26,94.8509048987
1999-11-29,94.5155945853
1999-11-30,93.4048483237
1999-12-01,94.1592965288
1999-12-02,94.7251635312
1999-12-03,96.4645549333
1999-12-06,95.7520205174
1999-12-07,94.9766462662
1999-12-08,94.3688654747
1999-12-09,94.8299171556
1999-12-10,95.1443014229
1999-12-13,95.3119565796
1999-12-14,94.3898532178
1999-12-15,94.8928186879
1999-12-16,95.3119565796
1999-12-17,95.9222562223
1999-12-20,95.2289632628
1999-12-21,96.6785420795
1999-12-22,96.9306373652
1999-12-23,98.474669899
1999-12-27,98.3381384535
1999-12-28,98.2751455558
1999-12-29,98.6953043654
1999-12-30,98.5797398528
1999-12-31,98.7373202463
2000-01-03,97.7709549843
2000-01-04,93.9475098173
2000-01-05,94.1155733412
2000-01-06,92.6030016268
2000-01-07,97.9810343891
2000-01-10,98.3171614368
2000-01-11,97.14071677
2000-01-12,96.174351508
2000-01-13,97.4768438176
2000-01-14,98.8003131441
2000-01-18,98.0230502701
2000-01-19,98.8213520082
2000-01-20,97.3087802938
2000-01-21,97.098700889
2000-01-24,94.3466297627
2000-01-25,95.4180656508
2000-01-26,94.6617797936
2000-01-27,94.283636865
2000-01-28,91.3425251981
2000-01-31,93.8214621745
2000-02-01,94.7458115555
2000-02-02,94.8298433174
2000-02-03,96.2583832699
2000-02-04,95.8592014771
2000-02-07,95.7121768175
2000-02-08,97.0146691271
2000-02-09,94.9768679771
2000-02-10,95.1659703651
2000-02-11,93.2332398411
2000-02-14,93.7794462935
2000-02-15,94.8403264478
2000-02-16,93.4433192459
2000-02-17,92.9601056912
2000-02-18,90.9643822695
2000-02-22,90.7332640005
2000-02-23,91.8046998886
2000-02-24,89.9560011265
2000-02-25,89.6303572092
2000-02-28,91.5105887219
2000-02-29,92.392922222
2000-03-01,93.0651763173
2000-03-02,93.128169215
2000-03-03,94.8718591984
2000-03-06,93.9475098173
2000-03-07,92.1302718747
2000-03-08,92.0147792934
2000-03-09,94.7037956745
2000-03-10,94.1996051031
2000-03-13,93.170185096
2000-03-14,91.8467157695
2000-03-15,93.9895256983
2000-03-16,98.3801543345
2000-03-17,99.0286234076
2000-03-20,98.5231604213
2000-03-21,100.545012367
2000-03-22,101.15574914
2000-03-23,102.882747677
2000-03-24,103.493546454
2000-03-27,102.39837665
2000-03-28,101.808669833
2000-03-29,101.91394362
2000-03-30,100.208037042
2000-03-31,101.345328762
2000-04-03,101.935035579
2000-04-04,101.1768411
2000-04-05,100.545012367
2000-04-06,101.418990894
2000-04-07,102.061401326
2000-04-10,101.661212126
2000-04-11,101.366358718
2000-04-12,98.5863122929
2000-04-13,97.2173810399
2000-04-14,91.6572881901
2000-04-17,94.8585537703
2000-04-18,97.3647767425
2000-04-19,96.4591865604
2000-04-20,96.9225276312
2000-04-24,95.869479743
2000-04-25,99.8499697587
2000-04-26,98.7231882998
2000-04-27,98.3967946747
2000-04-28,97.7859958978
2000-05-01,99.1128672387
2000-05-02,97.1331372089
2000-05-03,94.8585537703
2000-05-04,95.5746263343
2000-05-05,96.7329480096
2000-05-08,96.006355076
2000-05-09,95.2376510101
2000-05-10,93.0894333181
2000-05-11,95.2165590506
2000-05-12,96.2485769828
2000-05-15,97.9123616444
2000-05-16,98.8601357455
2000-05-17,97.8281178134
2000-05-18,96.6276742225
2000-05-19,95.1112852635
2000-05-22,94.3952126995
2000-05-23,93.0051894871
2000-05-24,94.5215784461
2000-05-25,92.8998536965
2000-05-26,93.0051894871
2000-05-30,96.0379674051
2000-05-31,96.2485769828
2000-06-01,97.9334536039
2000-06-02,99.6393601811
2000-06-05,99.1549891542
2000-06-06,98.7126780395
2000-06-07,99.3971389483
2000-06-08,99.0075314482
2000-06-09,98.7969218705
2000-06-12,97.6386001952
2000-06-13,99.470872519
2000-06-14,99.6393601811
2000-06-15,99.8499697587
2000-06-16,99.031731668
2000-06-19,100.298392458
2000-06-20,99.9395363094
2000-06-21,99.8973142831
2000-06-22,98.3773213354
2000-06-23,97.5328808089
2000-06-26,98.7889347501
2000-06-27,98.0606250626
2000-06-28,98.3350993091
2000-06-29,97.40621473
2000-06-30,98.1450691152
2000-07-03,99.4961739576
2000-07-05,97.7017689142
2000-07-06,98.4617653881
2000-07-07,100.0450603
2000-07-10,99.8761721945
2000-07-11,100.087282326
2000-07-12,100.74175481
2000-07-13,101.185055011
2000-07-14,102.177303705
2000-07-17,102.008415599
2000-07-18,101.174509637
2000-07-19,100.361756573
2000-07-20,101.755083441
2000-07-21,99.7706482041
2000-07-24,99.2006197733
2000-07-25,99.5173160462
2000-07-26,98.5462094407
2000-07-27,98.2084332301
2000-07-28,95.9917457727
2000-07-31,96.6039962298
2000-08-01,97.1951045983
2000-08-02,97.6806268257
2000-08-03,98.3561792468
2000-08-04,98.8839856513
2000-08-07,100.066202388
2000-08-08,100.446200625
2000-08-09,99.6017600988
2000-08-10,99.1161757207
2000-08-11,99.5806180103
2000-08-14,100.8472788
2000-08-15,100.762834747
2000-08-16,100.403978599
2000-08-17,101.459529257
2000-08-18,101.121753046
2000-08-21,101.670639389
2000-08-22,101.501751283
2000-08-23,101.902829458
2000-08-24,102.219525731
2000-08-25,102.177303705
2000-08-28,102.52561448
2000-08-29,102.546695093
2000-08-30,101.565053247
2000-08-31,102.91615809
2000-09-01,103.021744231
2000-09-05,102.198383642
2000-09-06,101.037308994
2000-09-07,101.902829458
2000-09-08,101.206197099
2000-09-11,101.058388932
2000-09-12,100.319534546
2000-09-13,100.583401269
2000-09-14,101.090065585
2000-09-15,98.8842011525
2000-09-18,97.9740628377
2000-09-19,98.8630047145
2000-09-20,98.1328126179
2000-09-21,96.6406811778
2000-09-22,98.3973684933
2000-09-25,97.6989453168
2000-09-26,96.4501624774
2000-09-27,96.9581292642
2000-09-28,98.2069121035
2000-09-29,97.2756396612
2000-10-02,97.4237654854
2000-10-03,96.5136894811
2000-10-04,97.3179702267
2000-10-05,97.6566147512
2000-10-06,95.5400864731
2000-10-09,94.8204668586
2000-10-10,93.2542359328
2000-10-11,92.4710893146
2000-10-12,90.1641046468
2000-10-13,93.1695748017
2000-10-16,93.5928804573
2000-10-17,91.2646993514
2000-10-18,90.9260548269
2000-10-19,94.3548306374
2000-10-20,94.756939855
2000-10-23,95.1802455106
2000-10-24,94.5452870271
2000-10-25,92.3229634904
2000-10-26,92.5769468838
2000-10-27,94.3336341993
2000-10-30,95.1802455106
2000-10-31,96.8205650854
2000-11-01,96.492493043
2000-11-02,96.6512428232
2000-11-03,96.7041458708
2000-11-06,97.3814349198
2000-11-07,97.3603007923
2000-11-08,95.2014419487
2000-11-09,94.8416009861
2000-11-10,92.5346163183
2000-11-13,91.8149967037
2000-11-14,94.2278389407
2000-11-15,94.5241528997
2000-11-16,93.042583105
2000-11-17,92.5451779637
2000-11-20,91.2223687858
2000-11-21,91.688005007
2000-11-22,89.4973772432
2000-11-24,91.3281640444
2000-11-27,92.1324447901
2000-11-28,90.5450797368
2000-11-29,90.3757574746
2000-11-30,89.5926108564
2000-12-01,89.5502802908
2000-12-04,90.312230471
2000-12-05,93.2753700603
2000-12-06,91.7832277836
2000-12-07,90.5238832988
2000-12-08,90.7355361266
2000-12-11,93.8891944162
2000-12-12,93.4870228881
2000-12-13,92.2065334392
2000-12-14,91.0318500855
2000-12-15,88.9822582841
2000-12-18,90.171236622
2000-12-19,88.3346999163
2000-12-20,85.7762943762
2000-12-21,86.3707835451
2000-12-22,88.9610577812
2000-12-26,89.9164555496
2000-12-27,90.5746712398
2000-12-28,90.8506528151
2000-12-29,89.1309118295
2001-01-02,87.5172983709
2001-01-03,91.7211860656
2001-01-04,90.7338577744
2001-01-05,87.7720794434
2001-01-08,88.4514956364
2001-01-09,88.2179150669
2001-01-10,89.7678645105
2001-01-11,89.8527915347
2001-01-12,89.6829374864
2001-01-16,90.2561636462
2001-01-17,90.6701930801
2001-01-18,91.5725325202
2001-01-19,91.0523646887
2001-01-22,91.6574595444
2001-01-23,92.3793392495
2001-01-24,92.6553833311
2001-01-25,92.4218027616
2001-01-26,92.3156752346
2001-01-29,92.808256051
2001-01-30,93.6235534445
2001-01-31,93.0936094933
2001-02-01,93.7118707554
2001-02-02,91.5853048653
2001-02-05,92.2579201022
2001-02-06,91.9861577015
2001-02-07,91.5105684046
2001-02-08,90.4438802256
2001-02-09,89.5742281778
2001-02-12,90.6001534235
2001-02-13,89.8595822995
2001-02-14,89.7237010991
