date,VZ
1999-11-01,22.0455055221
1999-11-02,21.5528685271
1999-11-03,21.7239230393
1999-11-04,21.4262881882
1999-11-05,21.3168133004
1999-11-08,22.0455055221
1999-11-09,21.5118154442
1999-11-10,21.7683972124
1999-11-11,21.7239230393
1999-11-12,21.5118154442
1999-11-15,21.6828699564
1999-11-16,22.0455055221
1999-11-17,22.3020872902
1999-11-18,21.8949775514
1999-11-19,22.172085861
1999-11-22,21.7512917612
1999-11-23,21.16970642
1999-11-24,21.2552336761
1999-11-26,21.5118154442
1999-11-29,21.4262881882
1999-11-30,21.8197135661
1999-12-01,22.0455055221
1999-12-02,22.1789280415
1999-12-03,22.5791955999
1999-12-06,22.0215578904
1999-12-07,21.8949775514
1999-12-08,21.9120830026
1999-12-09,22.0215578904
1999-12-10,21.6383957832
1999-12-13,22.3431403731
1999-12-14,22.172085861
1999-12-15,22.1310327781
1999-12-16,22.0010313489
1999-12-17,22.2165600342
1999-12-20,22.1926124025
1999-12-21,22.4286676292
1999-12-22,22.0660320635
1999-12-23,21.8744510099
1999-12-27,20.5710156276
1999-12-28,21.2757602175
1999-12-29,21.1252322468
1999-12-30,21.0397049908
1999-12-31,21.0602315322
2000-01-03,20.506014913
2000-01-04,19.8423234059
2000-01-05,20.506014913
2000-01-06,20.4016716606
2000-01-07,20.2501655757
2000-01-10,20.1434226522
2000-01-11,19.9540400461
2000-01-12,19.2825926243
2000-01-13,19.1310865394
2000-01-14,19.3893355478
2000-01-18,20.229505655
2000-01-19,19.8438538025
2000-01-20,19.9058335645
2000-01-21,20.6805805896
2000-01-24,20.7046838304
2000-01-25,20.1434226522
2000-01-26,19.8851736439
2000-01-27,20.0573396494
2000-01-28,19.8438538025
2000-01-31,21.3279247706
2000-02-01,20.508414584
2000-02-02,20.4223315812
2000-02-03,20.1227627315
2000-02-04,20.1640825729
2000-02-07,20.5738376662
2000-02-08,20.3155886578
2000-02-09,19.9058335645
2000-02-10,19.6475845562
2000-02-11,19.2825926243
2000-02-14,19.0450035367
2000-02-15,18.6800116048
2000-02-16,18.9589205339
2000-02-17,18.5078455993
2000-02-18,17.8639447384
2000-02-22,17.9913475825
2000-02-23,17.3026835602
2000-02-24,16.5279365352
2000-02-25,16.3764304502
2000-02-28,17.1752807161
2000-02-29,16.8516086256
2000-03-01,18.9176006925
2000-03-02,19.024343616
2000-03-03,19.0450035367
2000-03-06,19.6269246355
2000-03-07,19.1551897802
2000-03-08,19.4547586299
2000-03-09,20.1881858137
2000-03-10,19.7336675589
2000-03-13,19.6923477176
2000-03-14,19.303252545
2000-03-15,19.303252545
2000-03-16,19.9299368053
2000-03-17,20.3810117399
2000-03-20,20.3603518192
2000-03-21,20.2742688165
2000-03-22,19.9299368053
2000-03-23,20.5325178248
2000-03-24,20.4877546634
2000-03-27,20.876849836
2000-03-28,20.8320866745
2000-03-29,21.3485846912
2000-03-30,21.0903356829
2000-03-31,21.0490158415
2000-04-03,21.7135766231
2000-04-04,21.9511657107
2000-04-05,21.7583397845
2000-04-06,22.5795716311
2000-04-07,22.3821432551
2000-04-10,21.8868404873
2000-04-11,22.1881785349
2000-04-12,22.2955518622
2000-04-13,21.841812963
2000-04-14,21.1733274092
2000-04-17,21.0001446233
2000-04-18,21.0209265576
2000-04-19,21.3880740638
2000-04-20,20.868525706
2000-04-24,21.4538835225
2000-04-25,21.8002490944
2000-04-26,21.3014826708
2000-04-27,20.781934313
2000-04-28,20.781934313
2000-05-01,20.0892031693
2000-05-02,19.0501064536
2000-05-03,19.2025073052
2000-05-04,18.6379314231
2000-05-05,18.6829589474
2000-05-08,18.8665327005
2000-05-09,18.6933499146
2000-05-10,18.5755856201
2000-05-11,18.9565877492
2000-05-12,18.3573753098
2000-05-15,19.0708883879
2000-05-16,19.1366978466
2000-05-17,18.7903322747
2000-05-18,18.6621770131
2000-05-19,18.2292200482
2000-05-22,18.1183830652
2000-05-23,17.5988347074
2000-05-24,17.8586088863
2000-05-25,17.5364889045
2000-05-26,17.9036364107
2000-05-30,18.2049744582
2000-05-31,18.3158114412
2000-06-01,18.5374854072
2000-06-02,18.5755856201
2000-06-05,18.3573753098
2000-06-06,18.724522816
2000-06-07,18.724522816
2000-06-08,18.921951192
2000-06-09,18.6829589474
2000-06-12,18.6379314231
2000-06-13,19.2025073052
2000-06-14,19.8744565147
2000-06-15,19.5904367457
2000-06-16,19.0708883879
2000-06-19,19.7428375974
2000-06-20,19.895238449
2000-06-21,19.6770281387
2000-06-22,20.1550126279
2000-06-23,19.8744565147
2000-06-26,19.2232892395
2000-06-27,18.5755856201
2000-06-28,18.2222927368
2000-06-29,17.837826952
2000-06-30,17.5988347074
2000-07-03,19.1673380378
2000-07-05,18.9721796869
2000-07-06,18.768844898
2000-07-07,19.3164584734
2000-07-10,19.075787539
2000-07-11,18.3328468285
2000-07-12,18.1828634925
2000-07-13,17.9631204655
2000-07-14,17.2655235542
2000-07-17,17.2655235542
2000-07-18,17.0248526198
2000-07-19,16.3935274151
2000-07-20,15.4343316621
